DATE,TIME,NAME,Mw,R_EPI,R_HYP,H,PGA_ew,PGA_ns,PGV_ew,PGV_ns,SOIL
20040502,"90728,6",ARNR,"4,1","180,833","180,9855",7,"9,13E-05","1,54E-04","6,23E-06","1,16E-05","Лессовидный суглинок, глина"
20040502,"90728,6",VLKR,"4,1","146,341","146,5424",7,"5,64E-05","7,68E-05","2,08E-06","2,41E-06",Песчано-валунно-галечные отложения
20040706,"151527,7",DIGR,"4,4","173,479","216,1272",127,"4,23E-04","7,36E-04","9,16E-06","1,02E-05","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20040706,"151527,7",ARNR,"4,4","108,516","167,3727",127,"6,13E-04","6,40E-04","2,98E-05","2,66E-05","Лессовидный суглинок, глина"
20041115,"102108,3",ANN,5,"205,541","206,0918",15,"1,60E-04","1,84E-04","1,68E-05","1,55E-05","Суглинок, аллювий, глины сланцеватые, песчаники"
20041115,"102108,3",ANN,5,"205,541","206,0918",15,"1,57E-04","1,85E-04","1,42E-05","1,51E-05","Суглинок, аллювий, глины сланцеватые, песчаники"
20050313,"13119,7",ANN,"4,4","21,783","31,0009",22,"8,39E-03","1,79E-02","4,52E-04","4,99E-04","Суглинок, аллювий, глины сланцеватые, песчаники"
20050313,"13119,7",ARNR,"4,4","593,455","593,8787",22,"1,98E-05","1,70E-05","1,55E-06","1,78E-06","Лессовидный суглинок, глина"
20050824,"165808,8",PRTR,"4,2","148,911","153,9679",39,"9,06E-05","8,79E-05","5,20E-06","3,26E-06","Глина, суглинок, песчано-валунно-галечные отложения"
20050824,"165808,8",DIGR,"4,2","172,835","177,6091",39,"4,81E-04","7,73E-04","8,77E-06","1,04E-05","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20050824,"165808,8",ARNR,"4,2","119,993","126,3047",39,"6,90E-04","5,60E-04","3,18E-05","2,23E-05","Лессовидный суглинок, глина"
20050824,"165808,8",KSMR,"4,2","246,549","249,7615",39,"1,18E-04","0,00E+00","1,27E-06","0,00E+00",Аллювий
20051222,"40426,7",VLKR,4,"196,007","196,0415",3,"1,96E-04","1,51E-04","9,68E-06","9,56E-06",Песчано-валунно-галечные отложения
20051222,"40426,7",DIGR,4,"285,309","285,3511",3,"4,68E-05","5,28E-05","1,40E-06","1,78E-06","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20051222,"40426,7",ARNR,4,"229,478","229,5036",3,"6,72E-06","6,16E-06","4,62E-07","3,68E-07","Лессовидный суглинок, глина"
20051222,"40426,7",LACR,4,"227,475","227,5154",3,"6,81E-04","4,61E-04","3,21E-05","2,83E-05","Глина, суглинок"
20051222,"40426,7",BTKR,4,"211,641","211,6715",3,"4,06E-04","0,00E+00","2,51E-05","0,00E+00","Суглинки и супеси, ниже по разрезу глины"
20051222,"40426,7",VLKR,4,"196,007","196,0415",3,"1,91E-04","1,56E-04","9,44E-06","9,86E-06",Песчано-валунно-галечные отложения
20051222,"40426,7",KORR,4,"245,742","245,7686",3,"2,75E-04","3,60E-04","2,63E-05","2,82E-05","Суглинки, глины с прослоями песков"
20051222,"40426,7",KMSR,4,"231,41","231,4343",3,"5,67E-04","5,34E-04","2,50E-05","3,21E-05","Щебень, суглинок, делювиальные отложения"
20051222,"40426,7",ARNR,4,"229,478","229,5036",3,"2,10E-04","1,94E-04","1,45E-05","1,16E-05","Лессовидный суглинок, глина"
20051222,"40426,7",PRTR,4,"243,868","243,8882",3,"4,52E-04","5,41E-04","2,44E-05","2,75E-05","Глина, суглинок, песчано-валунно-галечные отложения"
20060204,"14903,9",ARNR,"4,3","426,045","426,0588",3,"1,44E-06","2,12E-06","2,31E-07","2,71E-07","Лессовидный суглинок, глина"
20060204,"14903,9",ARNR,"4,3","426,045","426,0588",3,"4,44E-05","6,66E-05","7,18E-06","8,55E-06","Лессовидный суглинок, глина"
20060206,"40801,1",VLKR,"4,6","115,589","115,6476",3,"8,11E-04","6,92E-04","9,13E-05","8,36E-05",Песчано-валунно-галечные отложения
20060206,"40801,1",ARNR,"4,6","99,808","99,8669",3,"1,08E-04","1,79E-04","6,71E-06","1,37E-05","Лессовидный суглинок, глина"
20060722,75557,VLKR,"4,1","194,143","194,4365",10,"2,29E-04","1,30E-04","1,18E-05","1,08E-05",Песчано-валунно-галечные отложения
20060722,75557,VLKR,"4,1","194,143","194,4365",10,"2,22E-04","1,35E-04","1,16E-05","1,12E-05",Песчано-валунно-галечные отложения
20060722,75557,ARNR,"4,1","158,673","159,0153",10,"2,48E-05","2,67E-05","1,47E-06","1,30E-06","Лессовидный суглинок, глина"
20060722,75557,ARNR,"4,1","158,673","159,0153",10,"7,81E-04","8,66E-04","3,24E-05","3,23E-05","Лессовидный суглинок, глина"
20060722,75557,DIGR,"4,1","145,56","146,0459",10,"7,33E-04","7,78E-04","1,00E-05","1,02E-05","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20060722,75557,BTKR,"4,1","165,852","166,1901",10,"4,16E-04","4,72E-04","3,09E-05","3,08E-05","Суглинки и супеси, ниже по разрезу глины"
20060911,"22344,6",VLKR,"4,6","289,221","289,3829",9,"9,74E-05","8,44E-05","1,09E-05","1,26E-05",Песчано-валунно-галечные отложения
20060911,"22344,6",VLKR,"4,6","289,221","289,3829",9,"9,56E-05","8,71E-05","1,05E-05","1,30E-05",Песчано-валунно-галечные отложения
20060911,"22344,6",ARNR,"4,6","324,37","324,507",9,"6,48E-06","5,16E-06","6,16E-07","7,08E-07","Лессовидный суглинок, глина"
20060911,"22344,6",ARNR,"4,6","324,37","324,507",9,"2,06E-04","1,63E-04","1,94E-05","2,22E-05","Лессовидный суглинок, глина"
20061012,"211651,8",LACR,"4,7","118,032","203,1043",164,"0,00E+00","1,13E-03","0,00E+00","3,24E-05","Глина, суглинок"
20061012,"211651,8",DIGR,"4,7","161,735","231,6938",164,"1,22E-04","3,05E-06","4,03E-06","3,98E-08","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20061012,"211651,8",ARNR,"4,7","96,547","190,6775",164,"1,25E-05","1,13E-05","1,02E-06","6,90E-07","Лессовидный суглинок, глина"
20061012,"211651,8",ARNR,"4,7","96,547","190,6775",164,"4,00E-04","3,52E-04","3,20E-05","2,18E-05","Лессовидный суглинок, глина"
