DATE	    TIME    NAME   Mw	  R_EPI	   R_HYP       H	PGA_ew	      PGA_ns	     PGV_ew	    PGV_ns		SOIL
20040502  090728.6  ARNR  4.10  180.8330  180.9855    7.00  9.127996e-005  1.536800e-004  6.227629e-006  1.163191e-005  Лессовидный суглинок, глина
20040502  090728.6  VLKR  4.10  146.3410  146.5424    7.00  5.640000e-005  7.684008e-005  2.078411e-006  2.405538e-006  Песчано-валунно-галечные отложения
20040706  151527.7  DIGR  4.40  173.4790  216.1272  127.00  4.234562e-004  7.364140e-004  9.156801e-006  1.017367e-005  Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды
20040706  151527.7  ARNR  4.40  108.5160  167.3727  127.00  6.134400e-004  6.401200e-004  2.982961e-005  2.657622e-005  Лессовидный суглинок, глина
20041115  102108.3   ANN  5.00  205.5410  206.0918   15.00  1.601519e-004  1.843825e-004  1.682102e-005  1.551391e-005  Суглинок, аллювий, глины сланцеватые, песчаники
20041115  102108.3   ANN  5.00  205.5410  206.0918   15.00  1.566818e-004  1.850621e-004  1.422724e-005  1.510314e-005  Суглинок, аллювий, глины сланцеватые, песчаники
20050313  013119.7   ANN  4.40   21.7830   31.0009   22.00  8.388355e-003  1.793656e-002  4.522118e-004  4.989683e-004  Суглинок, аллювий, глины сланцеватые, песчаники
20050313  013119.7  ARNR  4.40  593.4550  593.8787   22.00  1.976004e-005  1.704000e-005  1.551441e-006  1.781101e-006  Лессовидный суглинок, глина
20050824  165808.8  PRTR  4.20  148.9110  153.9679   39.00  9.055000e-005  8.790015e-005  5.202469e-006  3.256835e-006  Глина, суглинок, песчано-валунно-галечные отложения
20050824  165808.8  DIGR  4.20  172.8350  177.6091   39.00  4.812305e-004  7.734777e-004  8.769608e-006  1.039928e-005  Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды
20050824  165808.8  ARNR  4.20  119.9930  126.3047   39.00  6.896800e-004  5.598000e-004  3.183495e-005  2.228948e-005  Лессовидный суглинок, глина
20050824  165808.8  KSMR  4.20  246.5490  249.7615   39.00  1.181999e-004  0.000000e+000  1.272706e-006  0.000000e+000  Аллювий
20051222  040426.7  VLKR  4.00  196.0070  196.0415    3.00  1.957362e-004  1.511725e-004  9.675257e-006  9.557667e-006  Песчано-валунно-галечные отложения
20051222  040426.7  DIGR  4.00  285.3090  285.3511    3.00  4.679965e-005  5.281430e-005  1.399386e-006  1.783645e-006  Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды
20051222  040426.7  ARNR  4.00  229.4780  229.5036    3.00  6.719920e-006  6.160120e-006  4.624159e-007  3.676974e-007  Лессовидный суглинок, глина
20051222  040426.7  LACR  4.00  227.4750  227.5154    3.00  6.808399e-004  4.614399e-004  3.209066e-005  2.831847e-005  Глина, суглинок
20051222  040426.7  BTKR  4.00  211.6410  211.6715    3.00  4.057000e-004  0.000000e+000  2.512526e-005  0.000000e+000  Суглинки и супеси, ниже по разрезу глины
20051222  040426.7  VLKR  4.00  196.0070  196.0415    3.00  1.907333e-004  1.559348e-004  9.436219e-006  9.856141e-006  Песчано-валунно-галечные отложения
20051222  040426.7  KORR  4.00  245.7420  245.7686    3.00  2.753501e-004  3.595500e-004  2.633604e-005  2.822392e-005  Суглинки, глины с прослоями песков
20051222  040426.7  KMSR  4.00  231.4100  231.4343    3.00  5.669001e-004  5.341500e-004  2.502592e-005  3.209489e-005  Щебень, суглинок, делювиальные отложения
20051222  040426.7  ARNR  4.00  229.4780  229.5036    3.00  2.103200e-004  1.942000e-004  1.453360e-005  1.162975e-005  Лессовидный суглинок, глина
20051222  040426.7  PRTR  4.00  243.8680  243.8882    3.00  4.516000e-004  5.410500e-004  2.436481e-005  2.748336e-005  Глина, суглинок, песчано-валунно-галечные отложения
20060204  014903.9  ARNR  4.30  426.0450  426.0588    3.00  1.440080e-006  2.119920e-006  2.307547e-007  2.709243e-007  Лессовидный суглинок, глина
20060204  014903.9  ARNR  4.30  426.0450  426.0588    3.00  4.444012e-005  6.656004e-005  7.184141e-006  8.546939e-006  Лессовидный суглинок, глина
20060206  040801.1  VLKR  4.60  115.5890  115.6476    3.00  8.112706e-004  6.918200e-004  9.126219e-005  8.355032e-005  Песчано-валунно-галечные отложения
20060206  040801.1  ARNR  4.60   99.8080   99.8669    3.00  1.077600e-004  1.786801e-004  6.712836e-006  1.367277e-005  Лессовидный суглинок, глина
20060722    075557  VLKR  4.10  194.1430  194.4365   10.00  2.285175e-004  1.302362e-004  1.182967e-005  1.081935e-005  Песчано-валунно-галечные отложения
20060722    075557  VLKR  4.10  194.1430  194.4365   10.00  2.223017e-004  1.347003e-004  1.155346e-005  1.117036e-005  Песчано-валунно-галечные отложения
20060722    075557  ARNR  4.10  158.6730  159.0153   10.00  2.475992e-005  2.668008e-005  1.466664e-006  1.299861e-006  Лессовидный суглинок, глина
20060722    075557  ARNR  4.10  158.6730  159.0153   10.00  7.809200e-004  8.656800e-004  3.236236e-005  3.228842e-005  Лессовидный суглинок, глина
20060722    075557  DIGR  4.10  145.5600  146.0459   10.00  7.326971e-004  7.778607e-004  1.002576e-005  1.017733e-005  Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды
20060722    075557  BTKR  4.10  165.8520  166.1901   10.00  4.164499e-004  4.716001e-004  3.086462e-005  3.083141e-005  Суглинки и супеси, ниже по разрезу глины
20060911  022344.6  VLKR  4.60  289.2210  289.3829    9.00  9.739063e-005  8.436063e-005  1.088826e-005  1.260151e-005  Песчано-валунно-галечные отложения
20060911  022344.6  VLKR  4.60  289.2210  289.3829    9.00  9.561031e-005  8.706449e-005  1.053876e-005  1.299346e-005  Песчано-валунно-галечные отложения
20060911  022344.6  ARNR  4.60  324.3700  324.5070    9.00  6.479960e-006  5.159960e-006  6.155605e-007  7.083275e-007  Лессовидный суглинок, глина
20060911  022344.6  ARNR  4.60  324.3700  324.5070    9.00  2.056399e-004  1.626800e-004  1.942256e-005  2.224467e-005  Лессовидный суглинок, глина
20061012  211651.8  LACR  4.70  118.0320  203.1043  164.00  0.000000e+000  1.134400e-003  0.000000e+000  3.241796e-005  Глина, суглинок
20061012  211651.8  DIGR  4.70  161.7350  231.6938  164.00  1.222890e-004  3.050156e-006  4.025847e-006  3.975309e-008  Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды
20061012  211651.8  ARNR  4.70   96.5470  190.6775  164.00  1.248004e-005  1.128004e-005  1.021673e-006  6.899678e-007  Лессовидный суглинок, глина
20061012  211651.8  ARNR  4.70   96.5470  190.6775  164.00  4.002001e-004  3.519600e-004  3.204847e-005  2.181868e-005  Лессовидный суглинок, глина
20061012  211651.8  BTKR  4.70   69.4580  178.6503  164.00  1.033100e-003  0.000000e+000  3.258736e-005  0.000000e+000  Суглинки и супеси, ниже по разрезу глины
20061222  011115.3  VLKR  4.10   90.5130   92.8454   20.00  3.822425e-004  2.281438e-004  1.978145e-005  2.448240e-005  Песчано-валунно-галечные отложения
20061222  011115.3  ARNR  4.10  121.6980  123.4006   20.00  1.240000e-005  1.384004e-005  1.116791e-006  1.316982e-006  Лессовидный суглинок, глина
20061222  011115.3  VLKR  4.10   90.5130   92.8454   20.00  5.638850e-004  6.127900e-004  1.644733e-005  1.547312e-005  Песчано-валунно-галечные отложения
20061222  011115.3  DIGR  4.10  147.0340  148.6564   20.00  4.973777e-005  0.000000e+000  2.745881e-006  0.000000e+000  Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды
20070111  035834.8  ARNR  5.00  351.3610  352.1412   23.00  3.920000e-006  4.360040e-006  4.213137e-007  4.644233e-007  Лессовидный суглинок, глина
20070111  035834.8  ARNR  5.00  351.3610  352.1412   23.00  1.220400e-004  1.348400e-004  1.340560e-005  1.467780e-005  Лессовидный суглинок, глина
20070630  223036.4  ARNR  4.80  336.2030  336.6041   16.00  7.559840e-006  6.760120e-006  8.148951e-007  7.283993e-007  Лессовидный суглинок, глина
20070630  223036.4  ARNR  4.80  336.2030  336.6041   16.00  2.392000e-004  2.140801e-004  2.591861e-005  2.304876e-005  Лессовидный суглинок, глина
20070724  134130.4  ARNR  4.60  440.5410  442.3019   39.00  2.199960e-006  2.640000e-006  1.648597e-007  1.965404e-007  Лессовидный суглинок, глина
20070724  134130.4  ARNR  4.60  440.5410  442.3019   39.00  7.172000e-005  8.204004e-005  5.118583e-006  6.064352e-006  Лессовидный суглинок, глина
20070805  231056.2  VLKR  4.30  136.1190  137.3948   18.00  1.827865e-004  2.262772e-004  1.246633e-005  1.338580e-005  Песчано-валунно-галечные отложения
20070805  231056.2  VLKR  4.30  136.1190  137.3948   18.00  1.890525e-004  2.198313e-004  1.287906e-005  1.298883e-005  Песчано-валунно-галечные отложения
20070805  231056.2  LSNR  4.30  210.8990  211.7242   18.00  3.295201e-004  4.128400e-004  1.590749e-005  1.783269e-005  Глины, суглинки, супесь.
20070805  231056.2  ARNR  4.30  171.3900  172.3779   18.00  8.439960e-006  6.519960e-006  5.583604e-007  5.722618e-007  Лессовидный суглинок, глина
20070805  231056.2  ARNR  4.30  171.3900  172.3779   18.00  2.636800e-004  2.059199e-004  1.777059e-005  1.814977e-005  Лессовидный суглинок, глина
20070805  231056.2  DIGR  4.30  222.5570  223.4452   18.00  7.655097e-005  1.030270e-004  3.354665e-006  4.450164e-006  Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды
20070805  231056.2  BTKR  4.30  158.3810  159.4689   18.00  6.692999e-004  4.382500e-004  3.199458e-005  3.112655e-005  Суглинки и супеси, ниже по разрезу глины
20070805  231056.2  PRTR  4.30  197.3680  198.1995   18.00  7.771499e-004  5.425501e-004  3.225337e-005  3.241050e-005  Глина, суглинок, песчано-валунно-галечные отложения
20080331  201744.4  VLKR  4.20  127.4650  127.5915    5.00  6.098056e-004  5.237144e-004  3.259910e-005  3.470258e-005  Песчано-валунно-галечные отложения
20080331  201744.4  ARNR  4.20  158.3360  158.4290    5.00  2.724004e-005  2.371992e-005  1.827365e-006  1.087037e-006  Лессовидный суглинок, глина
20080331  201744.4  VLKR  4.20  127.4650  127.5915    5.00  5.806937e-004  0.000000e+000  1.665855e-005  0.000000e+000  Песчано-валунно-галечные отложения
20080331  201744.4  LSNR  4.20  196.8600  196.9418    5.00  7.349200e-004  8.865199e-004  2.283721e-005  3.179970e-005  Глины, суглинки, супесь.
20080331  201744.4  ARNR  4.20  158.3360  158.4290    5.00  9.010400e-004  7.444800e-004  3.220812e-005  3.206361e-005  Лессовидный суглинок, глина
20080331  201744.4   SNJ  4.20  116.2900  116.4282    5.00  3.599950e-006  0.000000e+000  9.557111e-008  0.000000e+000  Песчано-валунно-галечные отложения
20080425    151804  VLKR  4.40  297.1130  297.5265   15.00  2.323375e-005  2.493875e-005  1.744669e-006  1.736014e-006  Песчано-валунно-галечные отложения
20080425    151804  ARNR  4.40  331.5180  331.8768   15.00  3.679880e-006  2.879960e-006  7.559924e-008  7.405116e-008  Лессовидный суглинок, глина
20080425    151804  VLKR  4.40  297.1130  297.5265   15.00  2.263693e-005  2.575662e-005  1.701236e-006  1.790130e-006  Песчано-валунно-галечные отложения
20080425    151804  ARNR  4.40  331.5180  331.8768   15.00  1.061200e-004  9.251992e-005  2.360869e-006  2.349971e-006  Лессовидный суглинок, глина
20080425    151804   SNJ  4.40  286.6560  287.0840   15.00  4.290000e-004  5.792000e-004  1.274029e-005  1.406043e-005  Песчано-валунно-галечные отложения
20081002  200210.5  VLKR  4.20  137.1160  137.2336    5.00  1.199881e-004  1.465538e-004  9.967527e-006  1.285781e-005  Песчано-валунно-галечные отложения
20081002  200210.5  VLKR  4.20  137.1160  137.2336    5.00  1.172129e-004  1.508547e-004  9.733651e-006  1.316958e-005  Песчано-валунно-галечные отложения
20081002  200210.5  DIGR  4.20  222.4160  222.5231    5.00  4.962664e-005  6.565582e-005  1.761382e-006  2.179521e-006  Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды
20081002  200210.5  BTKR  4.20  160.7090  160.8064    5.00  4.519499e-004  5.173500e-004  2.684897e-005  3.241074e-005  Суглинки и супеси, ниже по разрезу глины
20081002  200210.5  LSNR  4.20  212.1040  212.1799    5.00  2.406000e-004  2.117600e-004  1.344702e-005  9.690827e-006  Глины, суглинки, супесь.
20081002  200210.5  ARNR  4.20  172.6730  172.7583    5.00  0.000000e+000  1.810800e-004  0.000000e+000  1.585127e-005  Лессовидный суглинок, глина
20081002  200210.5  KORR  4.20  186.2800  186.3647    5.00  3.111500e-004  4.433001e-004  3.195513e-005  3.203200e-005  Суглинки, глины с прослоями песков
20081002  200210.5  ARNR  4.20  172.6730  172.7583    5.00  9.240040e-006  5.719920e-006  1.379190e-006  5.078972e-007  Лессовидный суглинок, глина
20081002  200210.5  PRTR  4.20  200.5860  200.6517    5.00  4.017000e-004  4.280501e-004  2.874185e-005  2.901639e-005  Глина, суглинок, песчано-валунно-галечные отложения
20081014  150648.8  VLKR  5.10  128.5830  128.8122    7.00  2.244441e-003  2.441539e-003  1.455163e-004  1.749885e-004  Песчано-валунно-галечные отложения
20081014  150648.8  PRTR  5.10  168.4610  168.6121    7.00  2.359000e-004  1.986499e-004  8.515314e-006  9.892529e-006  Глина, суглинок, песчано-валунно-галечные отложения
20081014  150648.8  ARNR  5.10  159.1690  159.3422    7.00  1.513200e-004  9.712008e-005  1.097700e-005  4.836004e-006  Лессовидный суглинок, глина
20081019    214652  VLKR  4.50  125.4730  125.7078    7.00  7.406144e-004  9.295093e-004  3.375682e-005  5.322477e-005  Песчано-валунно-галечные отложения
20081019    214652  VLKR  4.50  125.4730  125.7078    7.00  6.270019e-004  0.000000e+000  1.653684e-005  0.000000e+000  Песчано-валунно-галечные отложения
20081019    214652  DIGR  4.50  216.1590  216.3423    7.00  3.819031e-004  3.988691e-004  8.932863e-006  1.054009e-005  Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды
20081019    214652  LSNR  4.50  192.5970  192.7499    7.00  1.001520e-003  1.120320e-003  3.030041e-005  3.159112e-005  Глины, суглинки, супесь.
20081020  062751.7  VLKR  4.40  125.7380  125.9153    6.00  2.756219e-004  3.402144e-004  2.476834e-005  2.482834e-005  Песчано-валунно-галечные отложения
20081020  062751.7  DIGR  4.40  216.5470  216.6912    6.00  2.366896e-004  2.626746e-004  6.378473e-006  5.429893e-006  Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды
20081020  062751.7  VLKR  4.40  125.7380  125.9153    6.00  6.176826e-004  0.000000e+000  1.625296e-005  0.000000e+000  Песчано-валунно-галечные отложения
