0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Сеть,Станция,Другие имена,Название,Количество записей,Дискретизация,Lat,Lon,Alt,Грунт,Дата,Час,Мин,Сек,Ошибка по времени,Широта,Ошибка по широте,Долгота,Ошибка по долготе,Глубина,Ошибка по глубине,Магнитуда,Код сети,Географический регион,Наличие цифровых записей,Макросейсмические данные,reg ID,Хронология,год,мес,день,час,мин,сек,"δt0, c","φ, °N","λ, °E","h, км",Kp,"MPVA,  магнитуда",М пересч из К,N ст,Взрыв,код центра обработки,Макросейсмика
NOGSR,ARNR,AD2,Ардон,367,40,44.14803,44.2792,428,"Лессовидный суглинок, глина",18/01/2003,10,18,15.5,0.4,44.95,0.04,36.36,0.04,26,0,3.3,OBGSR,,"ANN (20), SOC (20), KIV (20), KVT (40)",,NCA20 0001,2765952.00,2020,1,1,0,19,12.0,0.51,43.24,43.71,0.6,5.2,2.6,0.7,8,,OBGSR,
NOGSR,VLKR,VLK VLKG,Владикавказ,293,50,44.1576,44.6773,680,Песчано-валунно-галечные отложения,20/01/2003,16,39,0.3,-0.1,40.72,,49.92,,23,,3.8,DAGSR,Дагестан,,,NCA20 0002,2772706.64,2020,1,1,2,11,46.6,,41.53,46.55,9.0,7.7,,2.1,14,,DAGSR,
NOGSR,DIGR,DIG DIG2,Дигорское ущелье,230,40,41.4793,43.5807,1903,"Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды",24/01/2003,14,3,50.2,0.9,42.96,0.58,44.43,0.58,5,1,3.7,OBGSR,,,,NCA20 0003,2788195.50,2020,1,1,6,29,55.5,0.18,44.89,37.12,18.0,6.0,2.6,1.1,3,,OBGSR,
NOGSR,BTKR,BTK,Батакоюрт,204,50,44.7631,44.5422,595,"Суглинки и супеси, ниже по разрезу глины",03/03/2003,2,55,28.4,0.7,43.5,0.82,45.36,0.82,15,1,3.6,OBGSR,,,,NCA20 0004,2794940.00,2020,1,1,8,22,20.0,0.57,43.98,39.28,13.8,7.6,3.2,2.0,10,,OBGSR,
NOGSR,KORR,KOR,Кора,195,50,44.881,44.0677,618,"Суглинки, глины с прослоями песков",10/03/2003,1,15,35.3,0.8,41.4,0.22,46.33,0.22,26,2,3.1,OBGSR,,,,NCA20 0005,2795173.16,2020,1,1,8,26,13.2,,42.84,46.25,18.0,5.3,,0.7,9,,DAGSR,
NOGSR,LSNR,LSN,Лескен,189,40,42.6021,43.8156,694,"Глина, суглинок",14/03/2003,15,57,26.4,0.7,42.99,0.19,46.24,0.19,18,0,3.1,OBGSR,,,,NCA20 0006,2801269.21,2020,1,1,10,7,49.2,,42.77,47.71,3.0,6.4,,1.3,9,,DAGSR,
NOGSR,PRTR,PRT,Притеречная,175,50,43.189,44.282,136,"Глина, суглинок, песчано-валунно-галечные отложения",10/04/2003,6,39,56.5,-0.2,42.12,,49.21,,29,,3.6,DAGSR,Дагестан,,,NCA20 0007,2802853.40,2020,1,1,10,34,13.4,,42.98,46.30,6.0,5.5,,0.8,9,,DAGSR,
NOGSR,STDR,,Ставд-Дурт,172,50,43.1801,44.0631,352,Песчано-валунно-галечные отложения,19/04/2003,6,44,40.6,-0.8,40.95,,48.39,,13,,3.1,DAGSR,Дагестан,,,NCA20 0008,2815437.10,2020,1,1,14,3,57.1,0.60,42.42,45.37,28.6,6.9,2.9,1.6,14,,OBGSR,
NOGSR,LACR,LAC,Лац,165,40,43.562,44.2958,1287,"Глина, суглинок",24/04/2003,9,32,2.6,0.4,40.62,,46.1,,17,,3.7,DAGSR,Дагестан,,,NCA20 0009,2818661.64,2020,1,1,14,57,41.6,,42.16,46.11,6.0,6.2,,1.2,8,,DAGSR,
